Date,Ref,Issue,Name,Reason
17/09/2013,EAL/GAL/RPT/FM2.Simload/001,1,Galileo FM2 SIM Load report,Initial issue
18/10/2013,EAL/GAL/TN/DRY.INV/001,1,Galileo Drying Inv,initial issue
26/09/2013,GS-FGSE-EAL-TR-0001,1,Galileo FM2 Simulant Loading Test Report,initial issue
20/02/2014,GS-FGSE -EAL-TP-0006 ,2,Galileosat FM01 Propuslion Subsystem Leak Check Procedure,Update to section 10.1
27/02/2014,GS-FGSE-TP-007 ,1,Galileosat Fuel Transfer Tank Sampling Procedure,initial issue
01/08/2017,GS-FGSE-EAL-TP-0003,8,Propulsion Subsystem Leak Test Procedure ,Addition of GHC alignment check
29/04/2016,GS-FGSE-EAL-TP-0004,9,Fuelling of the propulsion system ,Section 10.13 updated to include 15 minute purge on FSS line
15/04/2013,GS-FGSE-EAL-TP-0005,5,Fuel loading equipment decontamination,Revised to Reflect Improved procedure
27/03/2014,GSE-EAL-200-PROC-006,3,Set Up and check out of the mono propellant fuel loading equipment,Annex A and E added
14/02/2014,GSE-EAL-200-PROC-002,2,Set up and check out of the low pressure test panel,Updated to new controlled document
14/02/2014,GSE-EAL-200-PROC-007,3,Set up and check out of the fuel weighing equipment,Appendix A updated with new column for down weight
14/02/2014,GSE-EAL-200-PROC-008,3,Set up and check out of the Particle Counter,T Off bleed' Section added to page 14 
19/05/2014,GS-FGSE-EAL-TR-0003,1,Galileo FM01 and FM02 Propulsion system launch site pressure & leak checks (Kourou),initial issue
04/08/2014,GS-FGSE-EAL-TR-004,1,FM01 & FM02 Gaileo propulsion system launch site fuelling report (Kourou),initial issue
13/02/2015,GS-FGSE-EAL-TR-005,1,FM03 and FM04 pressure and leak test report ,initial issue
17/02/2014,EAL/GAL/TN/PSRSH/001,1,Potential Sampling Regimes and Storage of Hydrazine,initial issue
15/02/2015,EAL/GAL/TN/DECON/001,1,Dump Tank decontamination Technical Note ,initial issue 
11/03/2015,GS-FGSE-EAL-TR-006,1,FM03 and FM04 Galileo system launch site fuelling report,Initial issue 
01/04/2015,EAL/GAL/TN/DTDD/001,1,Dump tank decontamination draining technical note ,initial issue
02/07/2015,GSE-EAL-200-PROC-011,1,Set Up and check out of the particle counter ,initial Isue 
24/08/2015,GS-FGSE-EAL-TR-008,1,FM05 and FM06 Fuelling Report ,initial issue
06/10/2015,GSE_FGSE-EAL-PVS01-004,1,Procedural Variation sheet for FM08 and FM09 only  to go with loading document ,initial issue 
24/11/2015,GS-FGSE-EAL-TR-009,2,FM08 and FM09 PROPULSION SYSTEM LAUNCH SITE PRESSURE AND LEAK CHECKS test report ,Explanation of Depressurisation Graph Timescales added i.a.w. ESA request
17/10/2016,GSE-FGSE-EAL-PVS03-005,1,Neutralisation of Hydrazine in Dump Tank DT003 prior to transport.,Initial Issue 
17/10/2016,GSE-FGSE-EAL-TR-015,1,"FM07,FM12,FM13,FM14 PROPULSION SYSTEM LAUNCH SITE PRESSURE AND LEAK CHECKS test report ",Initial Issue 
21/10/2016,6GSE-FGSE-EAL-TR-016,1,"FM07,FM12,FM13,FM14 PROPULSION SYSTEM Loading test report ",Initial Issue
12/09/2017,EAL/GAL/TN/DTDD/002,1,EAL/DT/005 Dump tank decontamination draining technical note ,